d_idle,p_idle,idle,total_d,total_p,total,ep
36.0,271.0,307.0,1217.0,680.0,1897.0,1
35.0,298.0,333.0,1216.0,707.0,1923.0,2
40.0,383.0,423.0,1221.0,792.0,2013.0,3
31.0,333.0,364.0,1212.0,742.0,1954.0,4
30.0,342.0,372.0,1211.0,751.0,1962.0,5
33.0,243.0,276.0,1214.0,652.0,1866.0,6
86.0,201.0,287.0,1267.0,610.0,1877.0,7
35.0,330.0,365.0,1216.0,739.0,1955.0,8
33.0,348.0,381.0,1214.0,757.0,1971.0,9
25.0,385.0,410.0,1206.0,794.0,2000.0,10
4.0,437.0,441.0,1185.0,846.0,2031.0,11
58.0,306.0,364.0,1239.0,715.0,1954.0,12
25.0,342.0,367.0,1206.0,751.0,1957.0,13
13.0,275.0,288.0,1194.0,684.0,1878.0,14
49.0,366.0,415.0,1230.0,775.0,2005.0,15
35.0,318.0,353.0,1216.0,727.0,1943.0,16
49.0,198.0,247.0,1230.0,607.0,1837.0,17
63.0,374.0,437.0,1244.0,783.0,2027.0,18
34.0,316.0,350.0,1215.0,725.0,1940.0,19
49.0,285.0,334.0,1230.0,694.0,1924.0,20
53.0,247.0,300.0,1234.0,656.0,1890.0,21
48.0,289.0,337.0,1229.0,698.0,1927.0,22
43.0,315.0,358.0,1224.0,724.0,1948.0,23
24.0,343.0,367.0,1205.0,752.0,1957.0,24
31.0,439.0,470.0,1212.0,848.0,2060.0,25
36.0,299.0,335.0,1217.0,708.0,1925.0,26
41.0,305.0,346.0,1222.0,714.0,1936.0,27
34.0,363.0,397.0,1215.0,772.0,1987.0,28
34.0,321.0,355.0,1215.0,730.0,1945.0,29
20.0,341.0,361.0,1201.0,750.0,1951.0,30
47.0,242.0,289.0,1228.0,651.0,1879.0,31
38.0,324.0,362.0,1219.0,733.0,1952.0,32
17.0,343.0,360.0,1198.0,752.0,1950.0,33
44.0,292.0,336.0,1225.0,701.0,1926.0,34
48.0,319.0,367.0,1229.0,728.0,1957.0,35
